time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-24T14:32:03.660Z,38.0938,-117.5212,6.2,2.2,ml,12,301.36,0.196,0.08,nn,nn00786058,2020-11-24T15:02:38.035Z,"25 km W of Tonopah, Nevada",earthquake,,10.7,,,automatic,nn,nn
2020-11-24T14:29:48.800Z,38.8030014,-122.7723312,0.76,0.4,md,10,76,0.01014,0.03,nc,nc73486661,2020-11-24T14:44:05.559Z,"3km NNW of The Geysers, CA",earthquake,0.3,0.72,0.16,2,automatic,nc,nc
2020-11-24T14:29:38.517Z,60.5632,-151.5756,58.2,2,ml,,,,0.69,ak,ak020f4cbjti,2020-11-24T14:32:49.625Z,"15 km WSW of Salamatof, Alaska",earthquake,,1.1,,,automatic,ak,ak
2020-11-24T14:28:38.100Z,38.175,-117.8722,6.6,1.2,ml,13,108.7,0.015,0.09,nn,nn00786056,2020-11-24T14:33:18.030Z,"31 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-24T14:07:34.177Z,-22.1977,-176.0981,57.45,5.3,mb,,83,6.56,0.8,us,us6000crzj,2020-11-24T14:37:05.040Z,"146 km SW of Vaini, Tonga",earthquake,10,6,0.065,78,reviewed,us,us
2020-11-24T13:58:11.986Z,61.6273,-149.8253,42.9,2.7,ml,,,,0.71,ak,ak020f4bw9rb,2020-11-24T14:39:11.040Z,"0 km SW of Houston, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-11-24T13:51:04.390Z,38.796833,-122.7493362,1.01,1.3,md,22,95,0.02948,0.03,nc,nc73486656,2020-11-24T14:09:06.378Z,"2km NNE of The Geysers, CA",earthquake,0.23,0.5,0.08,7,automatic,nc,nc
2020-11-24T13:43:48.680Z,19.1940002441406,-155.454498291016,35.1300010681152,2.02999997,md,46,123,,0.119999997,hv,hv72242962,2020-11-24T13:47:03.130Z,"2 km ESE of Pāhala, Hawaii",earthquake,0.56,0.74000001,1.64999998,18,automatic,hv,hv
2020-11-24T13:37:20.970Z,38.8344994,-122.8171692,1.16,0.89,md,9,78,0.0124,0.01,nc,nc73486651,2020-11-24T13:59:04.325Z,"8km NW of The Geysers, CA",earthquake,0.34,1.23,,1,automatic,nc,nc
2020-11-24T13:33:29.467Z,59.8789,-151.7111,67.7,2.2,ml,,,,0.37,ak,ak020f4bqy8p,2020-11-24T13:45:04.101Z,"7 km S of Happy Valley, Alaska",earthquake,,1.3,,,automatic,ak,ak
2020-11-24T13:21:18.340Z,38.164,-117.9793,10.4,1.1,ml,8,158.05,0.102,0.05,nn,nn00786054,2020-11-24T13:37:16.803Z,"27 km SSE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-11-24T13:06:21.210Z,38.8248329,-122.8095016,1.29,0.56,md,13,53,0.001504,0.01,nc,nc73486636,2020-11-24T14:23:04.451Z,"7km NW of The Geysers, CA",earthquake,0.26,0.66,,1,automatic,nc,nc
2020-11-24T13:00:23.070Z,38.8251648,-122.8098297,1.1,0.56,md,9,93,0.001777,0.01,nc,nc73486626,2020-11-24T13:33:07.175Z,"7km NW of The Geysers, CA",earthquake,0.26,0.65,,1,automatic,nc,nc
2020-11-24T12:59:56.640Z,17.951,-67.0085,5,1.59,md,3,333,0.0402,0.1,pr,pr2020329004,2020-11-24T13:37:58.752Z,"Puerto Rico region",earthquake,1.13,0.74,0.09,3,reviewed,pr,pr
2020-11-24T12:50:40.410Z,38.1642,-117.9777,10.2,1.3,ml,12,105.71,0.023,0.05,nn,nn00786050,2020-11-24T13:23:18.321Z,"27 km SSE of Mina, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-11-24T12:30:22.640Z,37.2598,-117.5912,13.2,0.9,ml,10,109.93,0.057,0.1,nn,nn00786047,2020-11-24T12:33:36.529Z,"55 km S of Silver Peak, Nevada",earthquake,,1.3,,,automatic,nn,nn
2020-11-24T12:26:44.210Z,38.1705,-118.2232,23.4,1,ml,9,115.82,0.109,0.01,nn,nn00786046,2020-11-24T12:31:57.156Z,"26 km SSW of Mina, Nevada",earthquake,,2.5,,,automatic,nn,nn
2020-11-24T12:21:45.430Z,38.1262,-117.7783,13.3,1,ml,13,100.81,0.027,0.02,nn,nn00786044,2020-11-24T12:28:57.569Z,"41 km SE of Mina, Nevada",earthquake,,3.2,,,automatic,nn,nn
2020-11-24T12:17:20.820Z,33.9990005,-116.6991653,16.02,1.77,ml,81,27,0.058,0.17,ci,ci39475799,2020-11-24T12:28:40.180Z,"12km WSW of Morongo Valley, CA",earthquake,0.18,0.51,0.325,26,automatic,ci,ci
2020-11-24T12:16:10.490Z,44.6051667,-110.3218333,5.42,1.88,ml,17,92,0.1,0.1,uu,uu60419567,2020-11-24T14:12:31.220Z,"51 km SE of Mammoth, Wyoming",earthquake,0.34,3.14,0.121,4,reviewed,uu,uu
2020-11-24T12:02:32.360Z,38.2158,-117.7508,8.5,1.5,ml,20,122.21,0.103,0.08,nn,nn00786041,2020-11-24T12:23:18.650Z,"36 km ESE of Mina, Nevada",earthquake,,2.3,,,automatic,nn,nn
2020-11-24T11:51:37.980Z,38.1818,-117.8858,13.7,1.6,ml,20,75.01,0.026,0.12,nn,nn00786037,2020-11-24T12:03:40.147Z,"30 km SE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-11-24T11:45:29.810Z,38.1382,-118.0153,0,1.4,ml,13,75.6,0.026,0.3,nn,nn00786033,2020-11-24T11:52:18.162Z,"29 km SSE of Mina, Nevada",earthquake,,9.4,,,automatic,nn,nn
2020-11-24T11:41:49.920Z,38.1462,-117.9648,12.4,1.7,ml,19,75.48,0.012,0.11,nn,nn00786029,2020-11-24T11:46:18.770Z,"29 km SSE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-11-24T11:35:18.080Z,34.4538333,-116.4723333,0.66,1.07,ml,15,66,0.1453,0.19,ci,ci39475783,2020-11-24T11:38:53.621Z,"38km N of Yucca Valley, CA",earthquake,0.44,0.83,0.168,16,automatic,ci,ci
2020-11-24T11:34:20.530Z,33.6413333,-116.7165,16.03,0.86,ml,10,92,0.06968,0.07,ci,ci39475775,2020-11-24T14:41:34.473Z,"10km NNW of Anza, CA",earthquake,0.35,0.6,0.392,10,reviewed,ci,ci
2020-11-24T11:31:14.670Z,38.5068,-118.4295,0.5,1.4,ml,17,93.36,0.105,0.17,nn,nn00786026,2020-11-24T11:42:57.742Z,"17 km E of Hawthorne, Nevada",earthquake,,12.6,,,automatic,nn,nn
2020-11-24T11:22:11.930Z,19.4026660919189,-155.266830444336,2.69000005722046,2.08,ml,12,100,,0.150000006,hv,hv72242867,2020-11-24T11:27:43.940Z,"5 km SW of Volcano, Hawaii",earthquake,0.42,0.519999981,0.26,5,automatic,hv,hv
2020-11-24T11:18:41.160Z,35.8016667,-117.625,7.03,1.17,ml,19,84,0.02639,0.16,ci,ci39475767,2020-11-24T14:41:36.007Z,"20km W of Searles Valley, CA",earthquake,0.26,0.59,0.149,14,reviewed,ci,ci
2020-11-24T11:17:21.900Z,38.8216667,-122.7903366,0.92,0.55,md,8,76,0.01128,0.02,nc,nc73486606,2020-11-24T11:18:56.421Z,"6km NNW of The Geysers, CA",earthquake,0.31,0.98,,1,automatic,nc,nc
2020-11-24T11:14:01.690Z,38.8333321,-122.817337,1.62,0.56,md,9,111,0.01143,0.01,nc,nc73486601,2020-11-24T11:15:36.416Z,"8km NW of The Geysers, CA",earthquake,0.45,0.92,,1,automatic,nc,nc
2020-11-24T11:09:29.120Z,38.8218346,-122.793335,0.37,0.59,md,17,40,0.01308,0.03,nc,nc73486586,2020-11-24T12:02:05.658Z,"6km NNW of The Geysers, CA",earthquake,0.19,0.45,0.04,3,automatic,nc,nc
2020-11-24T11:07:34.070Z,38.8251648,-122.8096695,1.23,0.56,md,11,68,0.001795,0.02,nc,nc73486581,2020-11-24T11:37:04.503Z,"7km NW of The Geysers, CA",earthquake,0.3,0.73,,1,automatic,nc,nc
2020-11-24T11:07:16.890Z,38.1968,-117.822,5.1,1.1,ml,9,153.42,0.043,0.19,nn,nn00786024,2020-11-24T11:32:37.279Z,"33 km SE of Mina, Nevada",earthquake,,1.6,,,automatic,nn,nn
2020-11-24T10:46:31.310Z,40.736,-119.2057,11.2,1.8,ml,9,234.69,0.686,0.15,nn,nn00786023,2020-11-24T11:08:17.093Z,"3 km SSE of Black Rock City, Nevada",earthquake,,1.7,,,automatic,nn,nn
2020-11-24T10:32:43.045Z,59.9681,-151.7441,62.2,2.4,ml,,,,0.47,ak,ak020f49ygpw,2020-11-24T13:36:42.943Z,"2 km NNW of Happy Valley, Alaska",earthquake,,1,,,automatic,ak,ak
2020-11-24T10:31:57.640Z,33.4868333,-116.5015,8.89,0.4,ml,22,59,0.07308,0.18,ci,ci39475751,2020-11-24T10:35:31.218Z,"18km ESE of Anza, CA",earthquake,0.32,0.83,0.134,10,automatic,ci,ci
2020-11-24T10:24:12.336Z,61.4751,-149.9588,37,1.7,ml,,,,0.45,ak,ak020f49wonl,2020-11-24T10:26:43.892Z,"5 km S of Big Lake, Alaska",earthquake,,1.3,,,automatic,ak,ak
2020-11-24T10:19:01.990Z,38.1608,-117.983,6.9,1.3,ml,17,70.96,0.03,0.1,nn,nn00786020,2020-11-24T10:47:57.959Z,"27 km SSE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-11-24T10:13:51.160Z,35.9176667,-117.6611667,10.45,0.88,ml,10,84,0.03141,0.15,ci,ci39475735,2020-11-24T10:17:20.488Z,"22km E of Little Lake, CA",earthquake,0.5,0.85,0.154,10,automatic,ci,ci
2020-11-24T10:10:35.380Z,32.4096667,-115.2131667,6.56,2.2,ml,19,100,0.07829,0.26,ci,ci39475727,2020-11-24T10:14:25.078Z,"6km NNW of Delta, B.C., MX",earthquake,0.56,1.68,0.184,27,automatic,ci,ci
2020-11-24T10:08:12.078Z,61.248,-147.6409,15.1,2.2,ml,,,,0.68,ak,ak020f49t969,2020-11-24T10:14:32.548Z,"62 km S of Glacier View, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-11-24T10:00:19.630Z,38.1375,-118.0075,1.7,1.1,ml,10,143.21,0.033,0.04,nn,nn00786018,2020-11-24T10:20:17.576Z,"29 km SSE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-11-24T09:44:17.870Z,36.88216667,-97.37533333,7.48,1.51,ml,47,119,0.1538698055,0.25,ok,ok2020xcah,2020-11-24T13:26:03.043Z,"5 km SW of Braman, Oklahoma",earthquake,,0.8,0.23,20,reviewed,ok,ok
2020-11-24T09:41:16.520Z,44.5475,-109.9935,8.95,1.73,md,13,90,0.09297,0.18,uu,uu60419562,2020-11-24T14:57:44.450Z,"51 km S of Silver Gate, Montana",earthquake,0.4,1.03,0.332,11,reviewed,uu,uu
2020-11-24T09:40:09.860Z,36.106,-117.8848333,3.57,1.27,ml,16,107,0.02688,0.13,ci,ci39475719,2020-11-24T14:42:20.188Z,"9km NE of Coso Junction, CA",earthquake,0.29,0.5,0.234,19,reviewed,ci,ci
2020-11-24T09:33:56.340Z,19.5061664581299,-155.657836914062,-1.64999997615814,2.22,ml,31,63,,0.289999992,hv,hv72242787,2020-11-24T09:39:27.570Z,"22 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.36,0.629999995,1.01,3,automatic,hv,hv
2020-11-24T09:23:59.370Z,38.176,-117.8173,7.4,2.9,ml,34,36.82,0.058,0.13,nn,nn00786014,2020-11-24T12:44:50.040Z,"34 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-24T09:16:50.410Z,38.1632,-117.8583,3.8,1.5,ml,14,74.71,0.047,0.04,nn,nn00786011,2020-11-24T09:24:57.594Z,"33 km SE of Mina, Nevada",earthquake,,0.3,,,automatic,nn,nn
2020-11-24T08:57:40.500Z,35.8806667,-117.6841667,3.63,0.87,ml,13,82,0.07248,0.17,ci,ci39475711,2020-11-24T09:01:25.441Z,"21km ESE of Little Lake, CA",earthquake,0.33,1.06,0.138,11,automatic,ci,ci
2020-11-24T08:48:21.230Z,38.8346672,-122.8180008,1.5,0.56,md,14,66,0.01285,0.02,nc,nc73486566,2020-11-24T09:55:03.864Z,"8km NW of The Geysers, CA",earthquake,0.28,0.58,,1,automatic,nc,nc
2020-11-24T08:45:51.280Z,36.0885,-117.8705,3.03,0.99,ml,9,165,0.03166,0.16,ci,ci39475703,2020-11-24T08:49:21.618Z,"8km NE of Coso Junction, CA",earthquake,0.59,1.11,0.176,11,automatic,ci,ci
2020-11-24T08:44:32.140Z,19.2223339080811,-155.38916015625,31.1100006103516,1.92999995,md,49,158,,0.119999997,hv,hv72242747,2020-11-24T08:47:37.130Z,"Island of Hawaii, Hawaii",earthquake,0.51,0.670000017,0.810000002,16,automatic,hv,hv
2020-11-24T08:42:54.360Z,35.029,-118.1526667,10,0.98,ml,16,62,0.1597,0.19,ci,ci39475695,2020-11-24T08:46:34.570Z,"3km SE of Mojave, CA",earthquake,0.32,1,0.227,15,automatic,ci,ci
2020-11-24T08:42:13.380Z,41.0143333,-111.5913333,10.58,2.01,ml,32,84,0.0646,0.13,uu,uu60419552,2020-11-24T14:32:33.460Z,"7 km ESE of Morgan, Utah",earthquake,0.2,0.43,0.066,8,reviewed,uu,uu
2020-11-24T08:33:27.768Z,-2.3712,128.088,10,4.9,mb,,76,3.204,1.13,us,us6000crxq,2020-11-24T11:17:33.040Z,"141 km NW of Amahai, Indonesia",earthquake,7,1.9,0.088,40,reviewed,us,us
2020-11-24T08:29:17.910Z,35.7445,-117.537,3.93,0.83,ml,14,150,0.08645,0.17,ci,ci39475687,2020-11-24T14:42:52.189Z,"12km WSW of Searles Valley, CA",earthquake,0.51,1.47,0.136,11,reviewed,ci,ci
2020-11-24T08:16:29.500Z,35.9066667,-117.7238333,4.08,1.19,ml,18,58,0.07244,0.12,ci,ci39475679,2020-11-24T14:43:07.494Z,"17km ESE of Little Lake, CA",earthquake,0.21,0.46,0.113,18,reviewed,ci,ci
2020-11-24T08:16:15.830Z,35.982,-117.7795,5.72,0.97,ml,16,50,0.02381,0.07,ci,ci39475671,2020-11-24T14:43:37.195Z,"12km ENE of Little Lake, CA",earthquake,0.18,0.32,0.226,14,reviewed,ci,ci
2020-11-24T08:13:34.250Z,38.7589989,-122.7176666,1.84,0.93,md,11,116,0.006192,0.03,nc,nc73486561,2020-11-24T08:31:06.325Z,"3km SW of Anderson Springs, CA",earthquake,0.33,0.37,0.16,4,automatic,nc,nc
2020-11-24T07:56:22.501Z,38.1724,-117.8433,6.6,3.1,ml,26,40.18,0.025,0.1541,nn,nn00786004,2020-11-24T13:22:55.040Z,"33 km SE of Mina, Nevada",earthquake,,0.7,0.25,12,reviewed,nn,nn
2020-11-24T07:53:33.220Z,38.8073349,-122.8541641,10.44,0.59,md,10,100,0.009265,0.15,nc,nc73486546,2020-11-24T08:24:05.286Z,"9km WNW of The Geysers, CA",earthquake,1.54,2.41,,1,automatic,nc,nc
2020-11-24T07:48:33.690Z,38.165,-117.8532,5.4,1.1,ml,15,105.38,0.012,0.05,nn,nn00786001,2020-11-24T07:57:37.515Z,"33 km SE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-11-24T07:48:07.730Z,19.2388324737549,-155.406661987305,31.3999996185303,1.86000001,md,47,114,,0.109999999,hv,hv72242697,2020-11-24T07:51:15.500Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.55,0.790000021,0.920000017,3,automatic,hv,hv
2020-11-24T07:15:59.050Z,38.207,-117.7677,7.3,1.5,ml,15,82.41,0.044,0.23,nn,nn00785998,2020-11-24T07:37:18.367Z,"36 km SE of Mina, Nevada",earthquake,,4.2,,,automatic,nn,nn
2020-11-24T07:10:01.020Z,38.2022,-117.7627,0.8,1.4,ml,12,89.18,0.042,0.22,nn,nn00785996,2020-11-24T07:14:37.529Z,"36 km SE of Mina, Nevada",earthquake,,16.3,,,automatic,nn,nn
2020-11-24T07:04:17.440Z,19.201000213623,-155.445327758789,32.3499984741211,1.86000001,md,36,155,,0.109999999,hv,hv72242657,2020-11-24T07:07:30.860Z,"3 km E of Pāhala, Hawaii",earthquake,0.55,0.75,0.159999996,5,automatic,hv,hv
2020-11-24T06:55:59.260Z,35.8718333,-117.7016667,6.9,0.82,ml,16,72,0.08139,0.11,ci,ci39475655,2020-11-24T06:59:43.931Z,"20km ESE of Little Lake, CA",earthquake,0.22,0.54,0.173,13,automatic,ci,ci
2020-11-24T06:38:05.780Z,38.8286667,-122.8011703,1.41,0.56,md,10,69,0.008722,0.02,nc,nc73486531,2020-11-24T06:39:42.054Z,"7km W of Cobb, CA",earthquake,0.41,0.76,,1,automatic,nc,nc
2020-11-24T06:37:29.990Z,38.8283348,-122.7985001,1.27,0.74,md,13,56,0.0103,0.03,nc,nc73486526,2020-11-24T06:39:06.884Z,"7km W of Cobb, CA",earthquake,0.27,0.64,0.17,2,automatic,nc,nc
2020-11-24T06:37:07.850Z,38.8274994,-122.7991638,1.4,1.82,md,29,42,0.009456,0.03,nc,nc73486521,2020-11-24T07:59:04.130Z,"7km W of Cobb, CA",earthquake,0.17,0.26,0.15,10,automatic,nc,nc
2020-11-24T06:36:19.910Z,38.8313332,-122.7979965,0.65,0.73,md,10,83,0.009254,0.03,nc,nc73486516,2020-11-24T06:56:04.737Z,"7km W of Cobb, CA",earthquake,0.32,0.83,,1,automatic,nc,nc
2020-11-24T06:35:56.880Z,38.8274994,-122.7979965,1.36,2.26,md,39,33,0.01029,0.05,nc,nc73486511,2020-11-24T07:33:06.970Z,"6km W of Cobb, CA",earthquake,0.16,0.25,0.18,13,automatic,nc,nc
2020-11-24T06:29:35.050Z,38.8199997,-122.8431702,1.82,2.42,md,45,50,0.007079,0.06,nc,nc73486501,2020-11-24T06:53:05.719Z,"9km WNW of The Geysers, CA",earthquake,0.18,0.23,0.12,28,automatic,nc,nc
2020-11-24T06:29:30.280Z,34.1551667,-117.4385,4.35,0.88,ml,20,123,0.03845,0.19,ci,ci39475639,2020-11-24T06:33:11.785Z,"7km NNE of Fontana, CA",earthquake,0.42,0.7,0.154,22,automatic,ci,ci
2020-11-24T06:22:27.804Z,61.6869,-151.8595,85.5,2.6,ml,,,,0.83,ak,ak020f47ijxr,2020-11-24T06:36:04.231Z,"41 km SW of Skwentna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-11-24T06:07:59.970Z,38.1572,-117.8503,5.9,1.2,ml,11,103.12,0.018,0.06,nn,nn00785993,2020-11-24T06:50:36.928Z,"34 km SE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-11-24T06:01:05.880Z,38.1383,-117.8448,0.6,1.5,ml,14,74.08,0.014,0.02,nn,nn00785990,2020-11-24T06:09:37.707Z,"36 km SE of Mina, Nevada",earthquake,,3.4,,,automatic,nn,nn
2020-11-24T05:44:05.600Z,38.7613335,-122.7233353,2.18,0.62,md,13,111,0.001221,0.02,nc,nc73486496,2020-11-24T06:38:06.631Z,"3km WSW of Anderson Springs, CA",earthquake,0.34,0.48,0.03,3,automatic,nc,nc
2020-11-24T05:42:55.730Z,33.4971667,-116.7871667,4.38,0.44,ml,14,60,0.01874,0.13,ci,ci39475615,2020-11-24T05:46:36.515Z,"9km NE of Aguanga, CA",earthquake,0.27,0.56,0.1,12,automatic,ci,ci
2020-11-24T05:39:36.430Z,38.181,-117.8017,12.1,1.5,ml,17,52.43,0.057,0.12,nn,nn00785987,2020-11-24T05:51:59.264Z,"35 km SE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-11-24T05:28:30.470Z,38.821167,-122.8426666,2.07,2.18,md,40,51,0.006275,0.05,nc,nc73486481,2020-11-24T05:48:05.329Z,"9km WNW of The Geysers, CA",earthquake,0.17,0.28,0.15,15,automatic,nc,nc
2020-11-24T05:27:06.490Z,32.549,-115.642,9.75,1.96,ml,14,83,0.1228,0.15,ci,ci39475599,2020-11-24T05:31:02.411Z,"6km WSW of Progreso, B.C., MX",earthquake,0.5,1.13,0.176,26,automatic,ci,ci
2020-11-24T05:21:55.080Z,17.9535,-66.9811,10,2.29,md,10,200,0.0651,0.11,pr,pr2020329003,2020-11-24T05:49:25.249Z,"7 km ESE of La Parguera, Puerto Rico",earthquake,0.44,0.64,0.21,5,reviewed,pr,pr
2020-11-24T04:38:38.050Z,38.1377,-117.9527,14.2,1.4,ml,14,76.19,0.004,0.09,nn,nn00785984,2020-11-24T05:04:37.333Z,"31 km SSE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-11-24T04:36:50.940Z,33.677,-116.6536667,11.29,0.57,ml,12,96,0.1314,0.28,ci,ci39475591,2020-11-24T04:40:33.076Z,"9km SE of Idyllwild, CA",earthquake,0.85,2.73,0.3,8,automatic,ci,ci
2020-11-24T04:27:38.210Z,19.1586666107178,-155.493835449219,33.4599990844727,2.05999994,md,35,159,,0.159999996,hv,hv72242547,2020-11-24T04:30:51.260Z,"5 km SSW of Pāhala, Hawaii",earthquake,0.9,0.99000001,2.05999994,4,automatic,hv,hv
2020-11-24T03:51:05.311Z,-22.4597,-68.689,113.62,4.2,mb,,38,0.679,0.8,us,us6000crwv,2020-11-24T05:31:46.040Z,"24 km E of Calama, Chile",earthquake,4.5,6,0.153,12,reviewed,us,us
2020-11-24T03:49:20.280Z,38.1707,-117.8372,2.4,1.9,ml,17,63.15,0.012,0.13,nn,nn00785977,2020-11-24T03:52:37.715Z,"34 km SE of Mina, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-11-24T03:49:00.985Z,17.3788,-93.9465,175.42,4.5,mb,,132,2.047,0.63,us,us6000crww,2020-11-24T05:38:28.040Z,"33 km NE of La Horqueta (Poblado Doce), Mexico",earthquake,9.9,10.5,0.064,71,reviewed,us,us
2020-11-24T03:38:45.750Z,40.7190018,-121.5948334,1.45,1.32,md,6,164,0.1404,0.06,nc,nc73486466,2020-11-24T04:26:03.824Z,"19km SSE of Burney, CA",earthquake,1.11,7.8,0.23,2,automatic,nc,nc
2020-11-24T03:25:06.430Z,38.1955,-117.8028,5.4,1.3,ml,18,56.8,0.046,0.16,nn,nn00785974,2020-11-24T03:49:57.349Z,"34 km SE of Mina, Nevada",earthquake,,1.3,,,automatic,nn,nn
2020-11-24T03:24:02.290Z,34.0471667,-116.9873333,12.37,0.97,ml,25,71,0.03908,0.21,ci,ci39475559,2020-11-24T03:28:05.896Z,"5km ENE of Yucaipa, CA",earthquake,0.36,0.84,0.177,29,automatic,ci,ci
2020-11-24T03:20:59.440Z,18.0305,-66.78,17,2.13,md,8,89,0.1136,0.16,pr,pr2020329001,2020-11-24T03:38:55.969Z,"1 km NE of Guayanilla, Puerto Rico",earthquake,0.59,0.56,0.07,4,reviewed,pr,pr
2020-11-24T03:03:53.050Z,35.8781667,-117.6971667,2.58,1.33,ml,20,74,0.07928,0.16,ci,ci39475543,2020-11-24T03:07:31.429Z,"20km ESE of Little Lake, CA",earthquake,0.21,0.39,0.153,21,automatic,ci,ci
2020-11-24T02:51:06.450Z,35.6815,-117.5255,2.16,0.71,ml,10,135,0.1462,0.18,ci,ci39475527,2020-11-24T02:54:41.336Z,"15km SW of Searles Valley, CA",earthquake,0.55,0.78,0.098,9,automatic,ci,ci
2020-11-24T02:08:34.207Z,61.2557,-146.8266,24.4,1.9,ml,,,,0.32,ak,ak020f451u1o,2020-11-24T02:11:55.312Z,"29 km WNW of Valdez, Alaska",earthquake,,3.7,,,automatic,ak,ak
2020-11-24T02:05:45.406Z,37.2012,-116.9373,11.4,2,ml,10,154.97,0.668,0.3542,nn,nn00785969,2020-11-24T02:25:25.568Z,"36 km NNW of Beatty, Nevada",earthquake,,89.9,1.25,5,reviewed,nn,nn
2020-11-24T02:04:59.330Z,38.1813,-117.7455,11,2.2,ml,21,106,0.054,0.09,nn,nn00785966,2020-11-24T02:25:18.222Z,"39 km SE of Mina, Nevada",earthquake,,1.3,,,automatic,nn,nn
2020-11-24T01:54:59.630Z,35.8406667,-117.6705,2.41,0.99,ml,13,78,0.06432,0.24,ci,ci39475511,2020-11-24T01:58:40.933Z,"24km ESE of Little Lake, CA",earthquake,0.46,0.64,0.111,13,automatic,ci,ci
2020-11-24T01:44:43.481Z,-33.6955,-70.3317,111.79,4.6,mb,,69,0.061,0.41,us,us6000crwl,2020-11-24T12:03:48.630Z,"Region Metropolitana, Chile",earthquake,4.6,4.6,0.183,9,reviewed,us,us
2020-11-24T01:26:42.860Z,38.1658,-117.8805,12.3,1.1,ml,10,179.38,0.018,0.02,nn,nn00785962,2020-11-24T01:30:00.220Z,"31 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-24T01:16:39.420Z,19.3618335723877,-155.472503662109,8.36999988555908,2.3,ml,42,39,,0.189999998,hv,hv72242352,2020-11-24T01:22:09.600Z,"17 km N of Pāhala, Hawaii",earthquake,0.39,0.649999976,0.13,9,automatic,hv,hv
2020-11-24T01:09:53.910Z,36.0641667,-117.367,3.1,1.03,ml,12,259,0.09905,0.11,ci,ci39475503,2020-11-24T14:45:11.521Z,"33km N of Searles Valley, CA",earthquake,0.63,1.01,0.129,9,reviewed,ci,ci
2020-11-24T01:06:07.160Z,38.8149986,-122.8206635,1.82,0.56,md,8,99,0.01178,0.01,nc,nc73486441,2020-11-24T01:29:05.761Z,"7km NW of The Geysers, CA",earthquake,0.49,1.02,,1,automatic,nc,nc
2020-11-24T00:59:07.940Z,36.9664993,-121.3991699,0.68,1.29,md,9,133,0.01668,0.16,nc,nc73486436,2020-11-24T02:54:04.303Z,"13km N of Hollister, CA",earthquake,0.88,11.79,0.07,6,automatic,nc,nc
2020-11-24T00:53:31.370Z,36.027,-117.8151667,1.54,0.5,ml,9,88,0.04049,0.09,ci,ci39475495,2020-11-24T01:39:03.116Z,"12km E of Coso Junction, CA",earthquake,0.15,0.29,0.101,3,reviewed,ci,ci
2020-11-24T00:49:10.976Z,64.5949,-149.4403,20,1.6,ml,,,,0.45,ak,ak020f443ped,2020-11-24T00:54:02.302Z,"15 km W of Four Mile Road, Alaska",earthquake,,0.4,,,automatic,ak,ak
